DEBUG 2025-11-25 15:45:20,392 autoreload File C:\Python313\Lib\multiprocessing\util.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,392 autoreload File C:\Users\Medserv Africa\schoolsaas\online_exam\apps.py first seen with mtime 1764058919.2744493
DEBUG 2025-11-25 15:45:20,393 autoreload File C:\Python313\Lib\shutil.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,393 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1764063948.2094886
DEBUG 2025-11-25 15:45:20,394 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\views\decorators\http.py first seen with mtime 1764063954.006152
DEBUG 2025-11-25 15:45:20,395 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\openpyxl\utils\protection.py first seen with mtime 1764063938.1160877
DEBUG 2025-11-25 15:45:20,396 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1764063947.1834083
DEBUG 2025-11-25 15:45:20,396 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\utils\version.py first seen with mtime 1764063953.9751184
DEBUG 2025-11-25 15:45:20,397 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\phonenumbers\data\alt_format_94.py first seen with mtime 1764063865.6867168
DEBUG 2025-11-25 15:45:20,398 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1764063953.8762925
DEBUG 2025-11-25 15:45:20,399 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\celery\utils\collections.py first seen with mtime 1764064089.872835
DEBUG 2025-11-25 15:45:20,400 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\pymysql\constants\ER.py first seen with mtime 1764063901.945119
DEBUG 2025-11-25 15:45:20,401 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\phonenumbers\data\alt_format_372.py first seen with mtime 1764063865.6324596
DEBUG 2025-11-25 15:45:20,401 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\phonenumbers\unicode_util.py first seen with mtime 1764063865.5954726
DEBUG 2025-11-25 15:45:20,402 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\openpyxl\utils\exceptions.py first seen with mtime 1764063938.1101115
DEBUG 2025-11-25 15:45:20,403 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\contrib\humanize\__init__.py first seen with mtime 1764063950.936271
DEBUG 2025-11-25 15:45:20,404 autoreload File C:\Users\Medserv Africa\schoolsaas\lesson_plan\urls.py first seen with mtime 1764058919.2353973
DEBUG 2025-11-25 15:45:20,404 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1764063953.3793616
